alpha,F_t,F_eff_best,F_amnt_best,abs(fluxD),fluxHR,fluxLR,slope
0.0,0.06941745920827973,0.052731861960425695,0.06941745920827973,72.02798915771089,47.70960372893528,24.318385451541914,0.07128645959784839
0.02040816326530612,0.06904146365305593,0.049407200993845574,0.06945051079178947,71.99371096311793,47.31237994071566,24.68133101707491,0.0730457552683544
0.04081632653061224,0.06860288552174261,0.046680332110086854,0.06953576013500457,71.90544820642879,46.93807083363397,24.96737740494442,0.07448707276901043
0.061224489795918366,0.0681050044331972,0.0436380337425013,0.06970067643476431,71.7353153049041,46.46386870800363,25.27144656783571,0.07607956511689173
0.08163265306122448,0.06754317343825113,0.04084444102253949,0.0699163940974255,71.51398551492258,45.97679438590941,25.53719127950988,0.07752032813828055
0.1020408163265306,0.06691612379674741,0.03808185285336501,0.07019274549485904,71.23243239826428,45.445498608145805,25.78693383823976,0.07892249558082207
0.12244897959183673,0.06622397293449019,0.035280519543601466,0.07054166410531186,70.8800970662765,44.8541048587423,26.025992235852847,0.080322889712499
0.14285714285714285,0.06546739010938324,0.03228480075268668,0.07099782166883266,70.42469588214482,44.15999897920173,26.264696922034076,0.08180188574930672
0.16326530612244897,0.06464746502935588,0.02965993403330397,0.07147430034565869,69.95521435734003,43.496637873063065,26.45857643610706,0.08308896852709101
0.18367346938775508,0.06376759315084221,0.027457704455302254,0.07193731810733871,69.50495421882002,42.89638542285886,26.608568749385363,0.08416860648820623
0.2040816326530612,0.06283100664290733,0.024930937073669533,0.07254897319912215,68.91896300754003,42.154205338365266,26.764757665168833,0.08541526097751524
0.22448979591836732,0.0618409845749147,0.023215703273233745,0.07302198705698025,68.47252724775012,41.61347594749494,26.859051342874217,0.08627161520859498
0.24489795918367346,0.06080209692520899,0.021462528561694103,0.07356087585391653,67.97091446526761,41.026687668222976,26.944226779189194,0.08716028908752159
0.26530612244897955,0.05971705175808729,0.019841310712945384,0.07411662491327742,67.46124784791722,40.44993192590273,27.011315843065297,0.08799867537451062
0.2857142857142857,0.058589310628411044,0.01855818203691796,0.07460176206500828,67.02254559319827,39.96742316376763,27.055122447260054,0.08867693116895557
0.3061224489795918,0.057422040561320054,0.017224473610494583,0.07515626127491952,66.52805656414039,39.4379741472675,27.090082383684454,0.08939917779365815
0.32653061224489793,0.05621841928999662,0.015869139016192524,0.07578170669547739,65.97898378906248,38.8666491200581,27.112334733178457,0.0901552754155636
0.3469387755102041,0.05497877283489347,0.01483914823487616,0.07630294840365266,65.52826736265112,38.40853870976025,27.119728559758805,0.09074793437061658
0.36734693877551017,0.05370584772315956,0.013773776146982452,0.07689221186416563,65.02609145462772,37.90938395274499,27.11670748035013,0.09138057174062877
0.3877551020408163,0.05240314671337716,0.012835808424840944,0.07746246096278343,64.54739416838196,37.44470649907687,27.102687643029594,0.09195695434292778
0.4081632653061224,0.051070720820804494,0.012054880078952768,0.07797819719449534,64.1204873045509,37.038339566357905,27.082147655056808,0.09245296585372675
0.42857142857142855,0.049709240377123654,0.011227119606700588,0.07857083095494095,63.63684765967308,36.58633148070665,27.050516179640898,0.09299720735472745
0.44897959183673464,0.04832108154129447,0.01042940308882385,0.07919578250256681,63.13467518555433,36.126474919232614,27.008200156079432,0.09354244851122152
0.4693877551020408,0.04690521403945941,0.00977487663948299,0.07975128173943855,62.694917109740246,35.73047378489858,26.964443373752736,0.09400732912701294
0.4897959183673469,0.04546583014629439,0.009177869279746613,0.08030227257818026,62.264738446737695,35.35028696430666,26.91445151333847,0.09444707142151262
0.5102040816326531,0.04400166448234789,0.008574761961243679,0.08090468794183145,61.801115943268954,34.94717734069336,26.853938606354877,0.09490858004195042
0.5306122448979591,0.04251169283817096,0.007982070220826202,0.08154517927516937,61.31570305806915,34.531449003559274,26.784254097349944,0.09538135553346953
0.5510204081632653,0.04099950102779091,0.007352436090968861,0.08229362617752704,60.758046907167,34.06289464878573,26.695152271625204,0.09590759694432077
0.5714285714285714,0.03946314002972478,0.0069898283629181625,0.08276088891880026,60.41501083894704,33.77910788557995,26.635902927504386,0.09622339450851587
0.5918367346938775,0.037902956975641784,0.006527405045558365,0.08339750727426275,59.953830320566865,33.40200697280231,26.55182334106437,0.09664139433589275
0.6122448979591836,0.03632100023952556,0.006005984244274115,0.08418681496886991,59.391723065520566,32.950502007115745,26.441221048917733,0.0971359217358921
0.6326530612244897,0.03471458590599746,0.005540023082607656,0.08495966632405766,58.85145522799236,32.52313263014789,26.328322624787866,0.09760175509459369
0.6530612244897959,0.033084949480532914,0.005138227369922881,0.08569054404168121,58.349495385774986,32.13227496921549,26.217220319357956,0.09802431544530686
0.673469387755102,0.031432170339321476,0.00475626332379748,0.08645122855883972,57.836078063985525,31.738478453722127,26.097599525672145,0.09844656820105498
0.6938775510204082,0.029754657736447993,0.004413994098578051,0.08719349531561986,57.34372708114064,31.365796572648062,25.977930539925644,0.09884435115079335
0.7142857142857142,0.028058642387478107,0.004285721328576153,0.08749094503473295,57.14877123188815,31.219861813524005,25.928909357748637,0.09899867851080718
0.7346938775510203,0.02636063827767599,0.004284633665703724,0.08749418951082993,57.1466519761877,31.218368433900586,25.928283589970047,0.099
0.7551020408163265,0.024662484076755045,0.004284633665703724,0.08749418951082993,57.1466519761877,31.218368433900586,25.928283589970047,0.099
0.7755102040816326,0.0229643298758341,0.004284633665703724,0.08749418951082993,57.1466519761877,31.218368433900586,25.928283589970047,0.099
0.7959183673469387,0.021266175674913165,0.004284633665703724,0.08749418951082993,57.1466519761877,31.218368433900586,25.928283589970047,0.099
0.8163265306122448,0.01956802147399222,0.004284633665703724,0.08749418951082993,57.1466519761877,31.218368433900586,25.928283589970047,0.099
0.836734693877551,0.017869867273071275,0.004284633665703724,0.08749418951082993,57.1466519761877,31.218368433900586,25.928283589970047,0.099
0.8571428571428571,0.01617171307215033,0.004284633665703724,0.08749418951082993,57.1466519761877,31.218368433900586,25.928283589970047,0.099
0.8775510204081632,0.014473558871229385,0.004284633665703724,0.08749418951082993,57.1466519761877,31.218368433900586,25.928283589970047,0.099
0.8979591836734693,0.012775404670308448,0.004284633665703724,0.08749418951082993,57.1466519761877,31.218368433900586,25.928283589970047,0.099
0.9183673469387754,0.011077250469387505,0.004284633665703724,0.08749418951082993,57.1466519761877,31.218368433900586,25.928283589970047,0.099
0.9387755102040816,0.009379096268466558,0.004284633665703724,0.08749418951082993,57.1466519761877,31.218368433900586,25.928283589970047,0.099
0.9591836734693877,0.007680942067545614,0.004284633665703724,0.08749418951082993,57.1466519761877,31.218368433900586,25.928283589970047,0.099
0.9795918367346939,0.005982787866624669,0.004284633665703724,0.08749418951082993,57.1466519761877,31.218368433900586,25.928283589970047,0.099
1.0,0.004284633665703724,0.004284633665703724,0.08749418951082993,57.1466519761877,31.218368433900586,25.928283589970047,0.099
